province,year,track_type,batch_name,control_score
上海,2023,不分科,体育本科,280
上海,2023,不分科,本科线,400
上海,2023,不分科,特招线/特殊类型招生,503
上海,2023,不分科,艺术本科,300
上海,2024,不分科,体育本科,284
上海,2024,不分科,本科线,405
上海,2024,不分科,特招线/特殊类型招生,504
上海,2024,不分科,艺术本科,304
上海,2025,不分科,体育本科,282
上海,2025,不分科,本科线,403
上海,2025,不分科,特招线/特殊类型招生,503
上海,2025,不分科,艺术本科,302
云南,2023,文科,体育一本/二本,420
云南,2023,文科,本科一批,575
云南,2023,文科,本科二批,505
云南,2023,文科,艺术一本/二本,380
云南,2023,文科,高职专科批,200
云南,2023,理科,体育一本/二本,350
云南,2023,理科,本科一批,515
云南,2023,理科,本科二批,430
云南,2023,理科,艺术一本/二本,320
云南,2023,理科,高职专科批,200
云南,2024,文科,本科一批,530
云南,2024,文科,本科二批,465
云南,2024,文科,艺术一本/二本,350
云南,2024,文科,高职专科批,200
云南,2024,理科,本科一批,485
云南,2024,理科,本科二批,405
云南,2024,理科,艺术一本/二本,305
云南,2024,理科,高职专科批,200
云南,2025,文科,体育一本/二本,400
云南,2025,文科,本科一批,550
云南,2025,文科,本科二批,480
云南,2025,文科,艺术一本/二本,360
云南,2025,文科,高职专科批,200
云南,2025,理科,体育一本/二本,350
云南,2025,理科,本科一批,505
云南,2025,理科,本科二批,420
云南,2025,理科,艺术一本/二本,315
云南,2025,理科,高职专科批,200
内蒙古,2023,文科,专科批,160
内蒙古,2023,文科,本科一批,459
内蒙古,2023,文科,本科二批,366
内蒙古,2023,理科,专科批,160
内蒙古,2023,理科,本科一批,427
内蒙古,2023,理科,本科二批,323
内蒙古,2024,文科,专科批,230
内蒙古,2024,文科,本科一批,468
内蒙古,2024,文科,本科二批,379
内蒙古,2024,理科,专科批,255
内蒙古,2024,理科,本科一批,434
内蒙古,2024,理科,本科二批,333
内蒙古,2025,文科,专科批,160
内蒙古,2025,文科,本科一批,478
内蒙古,2025,文科,本科二批,381
内蒙古,2025,理科,专科批,160
内蒙古,2025,理科,本科一批,471
内蒙古,2025,理科,本科二批,360
北京,2023,不分科,体育本科,348
北京,2023,不分科,普通专科,120
北京,2023,不分科,普通本科,425
北京,2023,不分科,特招线/特殊类型招生,518
北京,2023,不分科,艺术类本科,319
北京,2024,不分科,体育本科,390
北京,2024,不分科,普通专科,120
北京,2024,不分科,普通本科,448
北京,2024,不分科,特招线/特殊类型招生,527
北京,2024,不分科,艺术类本科,336
北京,2025,434分,艺术体育类/北京2024年高考分数线公布：本科批434分、特招线523分。/专科,120
北京,2025,434分,艺术体育类/北京2024年高考分数线公布：本科批434分、特招线523分。/高职单招,120
北京,2025,不分科,普通专科,120
北京,2025,不分科,普通本科,434
北京,2025,不分科,特招线/特殊类型招生,523
北京,2025,普通本科录取 控制分数线,艺术体育类/北京2024年高考分数线公布：本科批434分、特招线523分。/体育类 本科录取控制分数线 （体育成绩 60分）,400
北京,2025,普通本科录取 控制分数线,艺术体育类/北京2024年高考分数线公布：本科批434分、特招线523分。/特殊类型 招生 控制分数线,523
北京,2025,普通本科录取 控制分数线,艺术体育类/北京2024年高考分数线公布：本科批434分、特招线523分。/舞蹈类、戏曲类本科录取控制分数线,217
北京,2025,普通本科录取 控制分数线,艺术体育类/北京2024年高考分数线公布：本科批434分、特招线523分。/艺术 类 （不含舞蹈类、戏曲类） 本科 录取控制 分数线,326
北京,2025,普通本科录取 控制分数线,艺术体育类/北京2024年高考分数线公布：本科批434分、特招线523分。/艺术 类专科 录取控制分数线,84
北京,2025,普通本科录取 控制分数线,艺术体育类/北京2024年高考分数线公布：本科批434分、特招线523分。/高职单考 单招艺术类专业 控制分数线,84
吉林,2023,文科,体育类本科,308
吉林,2023,文科,本科一批,511
吉林,2023,文科,本科二批,364
吉林,2023,文科,艺术类本科,273
吉林,2023,理科,体育类本科,287
吉林,2023,理科,本科一批,488
吉林,2023,理科,本科二批,327
吉林,2023,理科,艺术类本科,245
吉林,2024,文科,体育类本科,296
吉林,2024,文科,本科一批,485
吉林,2024,文科,本科二批,341
吉林,2024,文科,艺术类本科,256
吉林,2024,理科,体育类本科,268
吉林,2024,理科,本科一批,463
吉林,2024,理科,本科二批,292
吉林,2024,理科,艺术类本科,219
吉林,2025,历史类,体育本科,312
吉林,2025,历史类,本科线,369
吉林,2025,历史类,特招线,479
吉林,2025,物理类,体育本科,305
吉林,2025,物理类,本科线,345
吉林,2025,物理类,特招线,483
四川,2023,文科,专科批,150
四川,2023,文科,本科一批,538
四川,2023,文科,本科二批,466
四川,2023,理科,专科批,150
四川,2023,理科,本科一批,515
四川,2023,理科,本科二批,426
四川,2024,文科,专科批,150
四川,2024,文科,本科一批,527
四川,2024,文科,本科二批,458
四川,2024,理科,专科批,150
四川,2024,理科,本科一批,520
四川,2024,理科,本科二批,433
四川,2025,文科,专科批,150
四川,2025,文科,本科一批,529
四川,2025,文科,本科二批,457
四川,2025,理科,专科批,150
四川,2025,理科,本科一批,539
四川,2025,理科,本科二批,459
天津,2023,不分科,本科批,463
天津,2023,不分科,特招线,583
天津,2024,不分科,本科批,472
天津,2024,不分科,特招线,563
天津,2025,不分科,本科批,475
天津,2025,不分科,特招线,563
宁夏,2023,文科,本科一批,487
宁夏,2023,文科,本科二批,425
宁夏,2023,文科,高职专科批,150
宁夏,2023,理科,本科一批,412
宁夏,2023,理科,本科二批,350
宁夏,2023,理科,高职专科批,150
宁夏,2024,文科,体育类一批,469
宁夏,2024,文科,体育类二批,390
宁夏,2024,文科,本科一批,488
宁夏,2024,文科,本科二批,421
宁夏,2024,文科,高职专科批,150
宁夏,2024,理科,体育类一批,397
宁夏,2024,理科,体育类二批,331
宁夏,2024,理科,本科一批,397
宁夏,2024,理科,本科二批,340
宁夏,2024,理科,高职专科批,150
宁夏,2025,文科,体育类一批,468
宁夏,2025,文科,体育类二批,375
宁夏,2025,文科,本科一批,496
宁夏,2025,文科,本科二批,419
宁夏,2025,文科,高职专科批,200
宁夏,2025,理科,体育类一批,432
宁夏,2025,理科,体育类二批,355
宁夏,2025,理科,本科一批,432
宁夏,2025,理科,本科二批,371
宁夏,2025,理科,高职专科批,200
安徽,2023,文科,本科一批,523
安徽,2023,文科,本科二批,480
安徽,2023,文科,高职专科批,200
安徽,2023,理科,本科一批,491
安徽,2023,理科,本科二批,435
